The Salvation Army Tremont Corps,40.852158,-73.895365,Nora Garcia,718-584-6250,Pantry,2121 Washington Avenue,Bronx,NY,10457,,11:00 AM - 01:00 PM,closed,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,closed,closed
CCNS-Our Lady of Angels Human Services,40.632443,-74.026147,Jennifer Smith,718-726-9790 ext. 8025,Pantry,336 73rd Street,Brooklyn,NY,11209,closed,closed,09:30 AM - 12:00 PM & 1:00 PM - 3:00 PM,closed,closed,closed,closed
Christian Fellowship SDA Community Svcs FP,40.654213,-73.93341,Colleen Lundy-Gordon,718-288-8796,Pantry,777-779 Schenectady Avenue,Brooklyn,NY,11203,closed,closed,10:30 AM - 12:30 PM,closed,closed,closed,closed
Christian Fellowship SDA Community Svcs- S.K.,40.654213,-73.93341,Colleen Lundy-Gordon,718-288-8796,Soup Kitchen,777-779 Schenectady Avenue,Brooklyn,NY,11203,05:00 PM - 06:00 PM,05:00 PM - 06:00 PM,05:00 PM - 06:00 PM,closed,closed,closed,closed
New York City Love Kitchen Inc.,40.86214,-73.918374,Tiffany Morris,212-942-4204,Soup Kitchen,3816 9th Avenue,New York,NY,10034,closed,2:00 PM - 4:00 PM,2:00 PM - 4:00 PM,closed,closed,-,-
Bethesda Missionary Baptist Church,40.708366,-73.781936,Brenda Baker,917-365-7770,Pantry,179-09 Jamaica Avenue,Jamaica,NY,11432,closed,closed,07:30 AM - 10:00 AM,closed,closed,closed,closed
Bethesda Missionary Baptist Church,40.708366,-73.781936,Brenda Baker,917-365-7770,Soup Kitchen,179-09 Jamaica Avenue,Jamaica,NY,11432,12:00 PM - 01:30 PM,closed,closed,12:00 PM - 01:30 PM,closed,closed,closed
Calvary AME Church,40.678239,-73.927186,Evelyn Webster,718-493-5589,Soup Kitchen,790 Herkimer Street,Brooklyn,NY,11233,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed,closed
Salem United Methodist Church,40.811911,-73.947122,Barbara Ellison Miller,212-348-2621,Pantry,211 West 129th Street,New York,NY,10027,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed,closed
Truth Center for Higher Consciousness,40.637141,-73.931968,Maura Dougan-Phillip,917-841-0709,Pantry,4622 Farragut Road,Brooklyn,NY,11203,-,-,-,-,-,10:00 AM - 12:00 PM,-
Redeemed Christian Church of God,40.828949,-73.916773,Abu Olatunji,646-208-2098,Pantry,1001 Morris Avenue,Bronx,NY,10456,-,12:00 PM - 6:00 PM,-,-,-,-,-
Co-Op City Seventh Day Adventist Church,40.880344,-73.831066,Gleneta Salmon,646-851-8591,Pantry,1010 Baychester Avenue,Bronx,NY,10475,-,-,5:30 PM - 7:00 PM,-,-,-,-
Temple Beth-El Community Food Pantry,40.830911,-73.908384,Wellington Mackey,914-563-5637,Pantry,3482 Park Avenue,Bronx,NY,10456,-,-,-,-,-,8:00 AM - 9:00 AM,-
"Grand Concourse SDA Church, Inc.",40.836375,-73.916339,Beverley Williams,718-681-2232,Pantry,1275 Grand Concourse,Bronx,NY,10452,-,-,1:30 PM - 4:00 PM,-,-,-,-
Agape Social Services Beulah Ministry,40.680617,-73.946438,Gwendolyn Hargett,347-336-9251 (cell),Soup Kitchen,956 Marcy Avenue,Brooklyn,NY,11216,closed,closed,12:30 PM - 02:00 PM,closed,closed,closed,04:00 PM - 05:30 PM
Agape Social Services Beulah Church,40.680617,-73.946438,Gwendolyn Hargett,347-336-9251 (cell),Pantry,956 Marcy Avenue,Brooklyn,NY,11216,closed,10:30 AM - 02:00 PM,closed,10:30 AM - 02:00 PM,closed,closed,closed
The Hope Center Development Corporation,40.657186,-73.918445,Ms. P. Forbes,347-306-8384,Pantry,409 East 95th Street,Brooklyn,NY,11212,closed,closed,closed,closed,closed,11:30 AM - 01:30 PM,closed
Morris Brown AME Church,40.673796,-73.793414,Ruth Roseborough,646-725-3106; 718-322-7596; 347-224-3988,Soup Kitchen,145-03 Rockaway Blvd,Jamaica,NY,11436,closed,closed,01:30 PM - 03:00 PM,closed,closed,closed,closed
Bethany Baptist Church of Jamaica,40.690308,-73.791664,,718-659-6099,Pantry,157-11 111th Avenue,Jamaica,NY,11433,closed,11:00 AM - 01:00 PM,closed,closed,closed,closed,closed
Iglesia De Dios Pentecostal,40.887931,-73.831499,Leticia Reyes,347-891-1347,Pantry,3801 Dyre Avenue,Bronx,NY,10466,closed,closed,closed,closed,closed,09:00 AM - 01:00 PM,closed
Glover Memorial,40.674977,-73.917017,Marlyn Corder,347-432-3065,Pantry,2134 Dean Street,Brooklyn,NY,11233,closed,closed,closed,09:00 AM - 11:00 AM,closed,closed,closed
Glover Memorial BC,40.674977,-73.917017,Marliyn Corder,347-432-4065,Soup Kitchen,2134 Dean Street,Brooklyn,NY,11233,09:00 AM - 12:00 PM,closed,closed,closed,closed,closed,closed
Victory SDA Church,40.871425,-73.850114,Claudette Hall,718-405-7209 / 718-219-0328,Soup Kitchen,1271 Burke Avenue,Bronx,NY,10469,closed,closed,closed,closed,closed,closed,11:00 AM - 12:30 PM
Fraternite Notre Dame,40.797051,-73.934417,Sr. Marie Magdelene,212-876-5855,Soup Kitchen,2290 1st Avenue,New York,NY,10035,closed,10:30 AM - 01:00 PM,10:30 AM - 01:00 PM,10:30 AM - 01:00 PM,10:30 AM - 01:00 PM,closed,closed
Faith Assemblies of God,40.689294,-73.922833,Carlos Haynes,646-431-9729,Pantry,1014-18 Gates Avenue,Brooklyn,NY,11221,closed,closed,closed,closed,closed,09:00 AM - 12:00 PM,closed
Faith Assemblies,40.689294,-73.922833,Carlos Haynes,646-431-9729,Soup Kitchen,1014-18 Gates Avenue,Brooklyn,NY,11221,closed,closed,closed,closed,closed,09:30 AM - 12:00 PM,closed
Ebenezer SDA Church,40.667481,-73.921238,Bruce Johnson,646-662-3405 (cell),Soup Kitchen,1234 East New York Avenue,Brooklyn,NY,11212,closed,closed,closed,closed,closed,closed,12:30 PM - 02:00 PM
United Bronx Parents,40.812935,-73.906668,Christian Estrada,347-996-1879,Soup Kitchen,787 E 149th Street,Bronx,NY,10455,02:30 PM - 04:00 PM,02:30 PM - 04:00 PM,02:30 PM - 04:00 PM,02:30 PM - 04:00 PM,02:30 PM - 04:00 PM,closed,closed
"United Bronx Parents, Inc.",40.81396,-73.90407,Christian Estrada,347-996-1879,Pantry,603 Prospect Avenue,Bronx,NY,10455,closed,closed,10:00 AM - 12:00 PM,closed,10:00 AM - 12:00 PM,closed,closed
Acts Community Development Corporation,40.576101,-73.988428,Denise Robbins,718-415-1170,Soup Kitchen,2114 Mermaid Avenue,Brooklyn,NY,11224,closed,closed,06:30 PM - 08:00 PM,closed,06:30 PM - 08:00 PM,closed,closed
Acts Community Development Corp.,40.576101,-73.988428,Vincent Fusco,917-560-7720,Pantry,2114 Mermaid Avenue,Brooklyn,NY,11224,closed,06:00 PM - 07:00 PM,closed,11:00 AM - 12:00 PM,closed,closed,closed
St. Ann's Corner Of Harm Reduction,40.820589,-73.899469,Krystal A. Montalvo,718-585-5544,Soup Kitchen,886 Westchester Avenue,Bronx,NY,10459,12:00 PM - 02:30 PM,12:00 PM - 02:30 PM,12:00 PM - 02:30 PM,12:00 PM - 02:30 PM,12:00 PM - 02:30 PM,closed,closed
St. Alban's Deliverance Feeding Program,40.70695,-73.752282,Vickie Johnson,718-468-6060,Pantry,205-14 Hollis Avenue,St. Albans,NY,11412,closed,closed,closed,closed,04:00 PM - 08:00 PM,closed,closed
Salem United Methodist Church,40.811911,-73.947122,Barbara Ellison Miller,212-678-2700,Soup Kitchen,211 West 129th Street,New York,NY,10027,closed,closed,11:00 AM - 03:00 PM,11:00 AM - 03:00 PM,11:00 AM - 03:00 PM,11:00 AM - 03:00 PM,closed
The Church of the Village - Hope for our Neighbors,40.738137,-74.000568,Teresa Concepcion,347-497-9718,Pantry,201 West 13th Street,New York,NY,10011,closed,01:00 PM - 03:00 PM,closed,closed,closed,closed,closed
The Church of the Village - Hope for Our Neighbors,40.738137,-74.000568,Teresa Concepcion,347-497-9718,Soup Kitchen,201 West 13th Street,New York,NY,10011,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM,closed
Vets Inc,40.694828,-73.779416,Chantel,516-539-6004,Pantry,111-16 173rd Street,Jamaica,NY,11434,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed
St. Michael's Church,40.796445,-73.969423,Ray Luetters,917-941-3849,Soup Kitchen,225 West 99th Street,New York,NY,10025,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Heritage Health and Housing Inc.,40.822914,-73.949084,Norman Rogers,212-866-2600 x4240,Soup Kitchen,1649 Amsterdam Avenue,New York,NY,10031,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM,08:00 AM - 10:00 AM
Original Pentecostal Apostolic Church,40.641618,-73.939785,Ena Baptiste,718-703-8867,Pantry,3901 Avenue D,Brooklyn,NY,11203,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM,closed
Morrisania Baptist Church,40.832543,-73.904152,Bishop Jerome Crawford,914-439-5171; 718-704-3625 (cell),Pantry,551 East 169th Street,Bronx,NY,10456,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM,closed
Maranatha SDA Church,40.658521,-73.929412,Cathy Lovell,718-753-9888,Pantry,899 Winthrop Street,Brooklyn,NY,11203,closed,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed
Resurrection Power and Living Bread Ministries Int,40.845779,-73.900032,Ruth Osei Kwarteny,929-462-5857,Pantry,4132 Park Avenue,Bronx,NY,10457,closed,closed,closed,closed,closed,02:00 PM - 04:00 PM,closed
Ruth Fernandez Family Residence,40.815807,-73.897913,Sandra Garcia,718-328-8180,Pantry,760-762 Fox Street,Bronx,NY,10455,closed,closed,09:00 AM - 12:00 PM,closed,closed,closed,closed
Iris House West Side Food Pantry,40.817081,-73.942738,Serge Jean,646-548-0100 ext 202,Pantry,2348 Adam Clayton Powell Jr Boulevard,New York,NY,10030,closed,closed,closed,02:00 PM - 04:00 PM,closed,closed,closed
Iris House Westside Soup Kitchen,40.817081,-73.942738,Serge Jean,646-548-0100 ext 202,Soup Kitchen,2348 Adam Clayton Powell Jr Boulevard,New York,NY,10030,closed,12:00 PM - 01:30 PM,12:00 PM - 01:30 PM,12:00 PM - 01:30 PM,12:00 PM - 01:30 PM,closed,closed
St. Stephen Outreach Inc.,40.695501,-73.947116,Sheila Williams,718-938-4532,Pantry,874 Myrtle Avenue,Brooklyn,NY,11206,closed,closed,09:30 AM - 10:30 AM,closed,09:30 AM - 10:30 AM,closed,closed
St. Stephen Outreach Community,40.695501,-73.947116,Sheila Williams,718-938-4532,Soup Kitchen,874 Myrtle Avenue,Brooklyn,NY,11206,closed,closed,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,closed,closed
Shalom Senior Center,40.663353,-73.939833,Yezgenya Cherny,718-774-9213,Pantry,483 Albany Avenue,Brooklyn,NY,11203,02:00 PM - 03:00 PM,02:00 PM - 03:00 PM,02:00 PM - 03:00 PM,02:00 PM - 03:00 PM,02:00 PM - 03:00 PM,closed,closed
Shiloh SDA,40.670411,-73.953547,Denise George,347-863-8222; 718-771-4103,Pantry,449 Eastern Parkway,Brooklyn,NY,11216,closed,closed,closed,09:30 AM - 11:30 AM,closed,closed,closed
Our Lady of Grace Parish,40.593435,-73.967198,Annette Bonvino,917-968-1913,Pantry,2322 East 4th Street,Brooklyn,NY,11223,09:00 AM - 11:30 AM,09:00 AM - 11:30 AM,09:00 AM - 11:30 AM,09:00 AM - 11:30 AM,09:00 AM - 11:30 AM,closed,closed
Our Lady of Grace Parish Ministry,40.593435,-73.967198,Annette Bonvino,917-968-1913,Mobile Soup Kitchen,2322 East 4th Street,Brooklyn,NY,11223,closed,closed,12:00 PM - 01:00 PM,closed,closed,closed,closed
Project Bravo at Montefiore Medical Ctr,40.873266,-73.87972,Tynisha Malone,718-231-3296 ext. 23 or 347-899-0936,Pantry,3058 Bainbridge Avenue,Bronx,NY,10467,12:00 PM - 02:00 PM,closed,10:00 AM - 12:00 PM,closed,12:00 PM - 02:00 PM,closed,closed
The Hope Center Development Corporation,40.657186,-73.918445,Mrs. Diana Nelson,718-385-7305,Soup Kitchen,409 East 95th Street,Brooklyn,NY,11212,closed,closed,closed,closed,closed,11:00 AM - 01:30 PM,closed
Community Food Pantry at Highbridge,40.841718,-73.924856,Myrlene Souffrant,718-960-2262,Pantry,1363 Ogden Avenue,Bronx,NY,10452,closed,10:00 AM - 12:00 PM,closed,01:00 PM - 03:00 PM,closed,10:00 AM - 12:00 PM,closed
Christ Jesus Baptist Church,40.845725,-73.866096,Yolanda Lewi,347-388-5992,Pantry,1812 White Plains Rd,Bronx,NY,10462,closed,closed,12:00 PM - 01:30 PM,closed,closed,closed,closed
Church of God of Prophecy (Pantry & Soup Kitchen),40.659001,-73.895094,Christine Inniss,917-640-3475,Pantry,71 Malta Street,Brooklyn,NY,11207,closed,05:00 PM - 07:00 PM (2nd and 4th Tuesday of the month),closed,closed,closed,closed,closed
Church of God of Prophecy (Pantry & Soup Kitchen),40.659001,-73.895094,Christine Inniss,917-640-3475,Soup Kitchen,71 Malta Street,Brooklyn,NY,11207,closed,05:00 PM - 07:00 PM (2nd and 4th Tuesday of the month),closed,closed,closed,closed,closed
St. Jerome's Hands Community Center,40.809899,-73.925141,Sr. Ana Margarita Zamora Tejada,646-730-1452/718-402-7866,Pantry,330 East 138th Street,Bronx,NY,10454,-,-,10:00 AM - 3:00 PM (by appointment),-,-,-,-
Church of the Living God,40.672111,-73.93373,Lynette Tuitt,718-419-2821; 646-573-0022,Pantry,212 Schenectady Avenue,Brooklyn,NY,11213,closed,closed,closed,closed,closed,09:00 AM - 12:30 PM,closed
Make the Road New York,40.698416,-73.915796,Arline Cruz,866-365-2724 Ext. 333,Pantry,301 Grove Street,Brooklyn,NY,11237,9:30 AM- 2:30 PM (Every other week by appointment only),-,-,-,9:30 AM- 2:30 PM (Every other week by appointment only),-,-
Salvation Army Harlem Temple,40.81553,-73.939484,LT. Emeline Musonza-Watch,917-699-4721 (cell),Pantry,540 Lenox Avenue,New York,NY,10037,9:30 AM - 11:00 AM,9:30 AM - 11:00 AM,9:30 AM - 11:00 AM,9:30 AM - 11:00 AM,9:30 AM - 11:00 AM,closed,closed
Salvation Army Harlem Temple Corps,40.81553,-73.939484,LT. Emeline Musonza-Watch,917-699-4721 (cell),Soup Kitchen,540 Lenox Avenue,New York,NY,10037,11:00 AM - 12:30 PM,11:00 AM - 12:30 PM,11:00 AM - 12:30 PM,11:00 AM - 12:30 PM,11:00 AM - 12:30 PM,closed,closed
Cornerstone SDA Church,40.674521,-73.896742,Merle Antoine,718-453-5589,Pantry,138 Pennsylvania Avenue,Brooklyn,NY,11207,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed
Cornerstone SDA Church,40.674521,-73.896742,Merle Antoine,718-942-7606,Soup Kitchen,138 Pennsylvania Avenue,Brooklyn,NY,11207,closed,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM
First Baptist Church,40.761614,-73.868736,Keica Edwards,718-446-0200,Pantry,100-10 Astoria Boulevard,East Elmhurst,NY,11369,closed,closed,closed,closed,closed,12:00 PM - 03:00 PM,closed
First Baptist Church,40.761614,-73.868736,Keica Edwards,718-446-0200,Soup Kitchen,100-10 Astoria Boulevard,East Elmhurst,East Elmhurst,11369,closed,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed
The Salvation Army Astoria Corps,40.756692,-73.914441,Jessica Hernandez,718-721-9046,Pantry,45-18 Broadway,Astoria,NY,11103,closed,closed,10:00 AM - 11:30 AM (by appointment only),closed,closed,closed,closed
The Salvation Army Bronx Citadel,40.822699,-73.913414,Alexandra Morel,718-665-8472 ext. 202; 646-330-0671 (cell),Pantry,425 East 159th Street,Bronx,NY,10451,closed,10:00 AM - 01:00 PM,closed,closed,closed,closed,closed
The Salvation Army Bronx Citadel,40.822699,-73.913414,Alexandra Morel,718-665-8472 ext. 202; 646-330-0671 (cell),Soup Kitchen,425 East 159th Street,Bronx,NY,10451,01:00 PM - 02:00 PM,closed,01:00 PM - 02:00 PM,closed,01:00 PM - 02:00 PM,closed,closed
The Salvation Army Sunset Park Corps,40.644685,-74.009825,Lieutenant Rosario Torres,718-438-1771 ext 0,Soup Kitchen,520 50th Street,Brooklyn,NY,11220,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,12:00 PM - 01:00 PM,closed,closed
The Salvation Army Sunset Park Corps,40.644685,-74.009825,Lieutenant Rosario Torres,718-438-1771,Pantry,520 50th Street,Brooklyn,NY,11220,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed,closed
Grand Central Neighborhood Social Service Corp.,40.745305,-73.9814,Kevin Lewis,212-883-0680 ext 104,Soup Kitchen,120 East 32nd Street,New York,NY,10016,06:30 AM - 06:00 PM,08:00 AM - 03:00 PM,08:00 AM - 03:00 PM,08:00 AM - 03:00 PM,08:00 AM - 03:00 PM,closed,closed
Bethel Seventh-Day Adventist Church,40.681599,-73.961306,Olga Manns,718-450-1842,Pantry,457 Grand Avenue,Brooklyn,NY,11238,closed,closed,03:00 PM - 05:00 PM,closed,closed,closed,closed
Bethel Seventh-Day Adventist Church,40.681599,-73.961306,Olga Manns,718-783-3630,Soup Kitchen,457 Grand Avenue,Brooklyn,NY,11238,closed,closed,closed,closed,closed,closed,01:00 PM - 02:00 PM
St. Philip's Episcopal,40.681602,-73.933228,Ollie Hinson,718-778-8700,Pantry,265 Decatur Street,Brooklyn,NY,11233,-,-,11:00 AM - 1:00 PM,-,-,-,-
Bethel Gospel Tabernacle Church,40.692753,-73.788266,Currin Willson,718-454-2950,Pantry,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,closed,closed,9:30 AM - 11:30 PM,closed,closed,closed,closed
Bethel Gospel Tabernacle Church,40.692753,-73.788266,Currin Wilson,,Soup Kitchen,110-25 Guy R Brewer Blvd,Jamaica,NY,11433,-,12:00 PM - 2:00 PM,-,-,12:00 PM - 2:00 PM,-,-
Mana Del Cielo,40.844544,-73.907463,Rosa Maria Fernandez,718-583-9900,Pantry,1700 Weeks Avenue,Bronx,NY,10457,closed,closed,02:00 PM - 07:00 PM,closed,closed,closed,closed
Community Alliance Initiative,40.700849,-73.895241,Lynn Pham,718-305-4888,Pantry,60-85 Myrtle Avenue,Ridgewood,NY,11385,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,10:00 AM - 04:00 PM,closed,closed
St. Paul Pentecostal Kingdom Builders Food Pantry,40.680359,-73.913823,Diana McFadden / Donna Holder,917-604-9644,Pantry,133 Thomas S Boyland Street,Brooklyn,NY,11233,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed
Mamre SDA Church,40.632625,-73.928143,Patricia Joseph,347-844-0093,Pantry,1623-27 Utica Ave,Brooklyn,NY,11234,closed,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM (every first Sunday of the month)
Greater Springfield Community Church,40.680303,-73.765213,Ms. Ruth Sypher / Phil,718-710-1224; 347-981-1414,Pantry,177-06 129th Avenue,Jamaica,NY,11434,closed,closed,closed,closed,closed,02:00 PM - 04:00 PM,closed
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,40.871356,-73.843869,HAGAR BORTSIE-ANSAH,347-449-5663,Pantry,3101 Eastchester Road,Bronx,NY,10469,-,-,-,-,-,9:00 AM - 11:00 AM,-
Henry Street Settlement,40.714157,-73.982702,Cheryl Kamen,212-349-2770,Senior Service,301 Henry Street,New York,NY,10002,11:30 AM - 01:00 PM,11:30 AM - 01:00 PM,11:30 AM - 01:00 PM,11:30 AM - 01:00 PM,11:30 AM - 01:00 PM,closed,12:00 PM - 01:00 PM
Bethlehem Nation's Food Pantry,40.65209,-73.955593,Lorraine Camp,347-304-8516,Pantry,1962-84 Linden Blvd,Brooklyn,NY,11207,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Church of God of Salvation,40.646665,-73.948961,Vivian Lazard,347-984-3350; 718-693-6486,Pantry,1615 Nostrand Avenue,Brooklyn,NY,11226,closed,09:00 AM - 11:00 AM,closed,09:00 AM - 11:00 AM,closed,closed,closed
Child Development Support Corp.,40.68826,-73.960024,Mireille Massac,718-398-2050,Pantry,352-358 Classon Avenue,Brooklyn,NY,11238,closed,closed,closed,10:00 AM - 01:00 PM,closed,closed,closed
ST. JOSEPHS SOUP KITCHEN INCORPORATED,40.738088,-74.005095,Steve Fanto,917-754-8901,Soup Kitchen,371 Sixth Avenue,New York,NY,10014,closed,closed,closed,closed,closed,01:00 PM - 03:00 PM,closed
St. Edward Food Pantry,40.511884,-74.222442,Louise Monaco,718-984-1625,Pantry,6581 Hylan Blvd,Staten Island,NY,10309,10:00 AM - 1:00 PM,-,10:00 AM - 1:00 PM,-,-,10:00 AM - 1:00 PM,-
St. Ann's Church of Morrisania,40.808436,-73.916661,Bernice King,718-585-5632,Soup Kitchen,295 St Anns Avenue,Bronx,NY,10454,closed,closed,closed,closed,closed,closed,11:30 AM - 02:00 PM
St. Ann's Church of Morrisania,40.808436,-73.916661,Bernice King,718-585-5632,Pantry,295 St Anns Avenue,Bronx,NY,10454,closed,closed,10:30 AM - 02:00 PM,closed,10:30 AM - 02:00 PM,closed,closed
Crown Heights Jewish Community Council,40.664633,-73.934787,Bella Vilenkin,718-771-9000 x7701,Pantry,899 Montgomery Street,Brooklyn,NY,11213,closed,closed,01:30 PM - 03:00 PM,closed,closed,closed,closed
Temple Sharaay Tefila,40.773341,-73.955473,Walter Montes,212-328-9416,Soup Kitchen,250 East 79th Street,New York,NY,10075,closed,closed,11:30 AM - 12:00 PM,closed,closed,closed,closed
New Alternatives For Children,40.744513,-73.990491,David Shichman,212-994-7919,Pantry,37 West 26th Street,New York,NY,10010,2:00 PM - 5:00 PM,2:00 PM - 5:00 PM,-,-,-,-,-
African Services Committee,40.813379,-73.954488,Youma Nafo,212-222-3882 ext. 2117,Pantry,429 west 127th street,New York,NY,10027,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,closed,closed
Hope for the Future Ministries,40.72775,-73.980396,Diane,631-236-7177,Mobile Soup Kitchen,Tompkins Square Park,Manhattan,NY,10009,closed,closed,06:00 PM - 09:00 PM,closed,closed,02:00 PM - 07:00 PM,closed
Kings Bay Y Senior Center,40.595032,-73.940632,Svetlana Manuilenko,718-648-2053,Senior Service,3643 Nostrand Avenue,Brooklyn,NY,11229,8:00 AM - 3:30 PM,8:00 AM - 3:30 PM,8:00 AM - 3:30 PM,8:00 AM - 3:30 PM,8:00 AM - 3:30 PM,closed,closed
Open Door To Heaven Outreach Ministry Inc.,40.672646,-73.880569,Melanie King,347-822-0714,Pantry,474 Shepherd Avenue,Brooklyn,NY,11208,closed,closed,closed,closed,closed,12:30 PM - 01:30 PM,closed
Church of Praise and Worship God in Christ,40.671414,-73.922487,Lorna Harrigan,347-462-5679,Pantry,526 Ralph Avenue,Brooklyn,NY,11233,closed,closed,closed,closed,closed,12:30 PM - 02:30 PM,closed
Kerith SDA Church,40.69225,-73.730926,Claude Antoine,917-523-7476,Pantry,230-11 Linden Blvd,Cambria Heights,NY,11411,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM,12:00 PM - 02:00 PM
Sisters With Purpose,40.647467,-73.877541,Susie Williams,646-460-4101,Pantry,1540 Van Siclen Avenue,Brooklyn,NY,11239,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM,closed
United Church of Praise Healthy Heart,40.629032,-74.076112,Sando Roberts,718-314-8779,Pantry,32 Sands Street,Staten Island,NY,10304,closed,closed,closed,closed,01:00 PM - 03:00 PM,closed,01:00 PM - 03:00 PM
Full Effect Gospel Ministries,40.668337,-73.877835,Wanza Leftwich,718-927-0476; 347-353-2118,Pantry,900 New Lots Ave,Brooklyn,NY,11208,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed,closed
United Church of Faith,40.641488,-73.909736,Naama Benjamin,347-449-0235; 718-613-9944,Pantry,643 East 88th street,Brooklyn,NY,11236,closed,closed,closed,closed,closed,12:00 PM - 01:00 PM,closed
"Unique People Services-AIDS Programs, Inc.",40.881226,-73.878267,Ms. Jin Xu,718-231-7711 x1029,Pantry,3510 Bainbridge Avenue,Bronx,NY,10467,11:00 AM - 03:00 PM,11:00 AM - 03:00 PM,11:00 AM - 03:00 PM,closed,closed,closed,closed
The Legacy Center Community Development Corp.,40.701766,-73.892608,Carmen Dominicci,917-453-5880,Pantry,71-02 Cypress Hills Street,Glendale,NY,11385,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed,closed
Blessed Assurance Church of God,40.678335,-73.909298,Asuanana Etuk / Idara,347-965-1725; 646-355-5561,Pantry,2093 Fulton Street,Brooklyn,NY,11233,closed,closed,closed,closed,closed,07:00 AM - 11:00 AM,closed
Forest Hills Senior Center,40.736161,-73.85015,Toolarie Iqbal,718-699-1010,Pantry,108-25 62nd Drive,Forest Hills,NY,11375,closed,closed,closed,8:30 Am - 10:30 AM,closed,closed,closed
NAZARETH HOUSING INC,40.723765,-73.983941,Nicholas Nelson,212-777-1010 ex. 114; 646-713-2754,Pantry,206 EAST 4TH STREET,New York,NY,10009,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed,closed
Feed My Sheep Community Pantry,40.826416,-73.878538,Edith Buckley,347-235-3723,Pantry,1104 ELDER AVENUE #15,Bronx,NY,10472,-,-,-,-,-,2:00 PM - 4:00 PM,-
SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,40.753908,-73.818092,Rehan Mehmood,718 321-7929,Home Deliveries (Limited areas only),143-06 45TH AVENUE,Queens,NY,11355,-,9:00 AM - 4:00 PM (Delivery only),-,-,-,-,-
University Settlement Senior Center,40.722088,-73.989435,Michele Rodriguez,212-473-8217,Senior Service,189 Allen Street,New York,NY,10002,08:00 AM - 05:00 PM,08:00 AM - 05:00 PM,,08:00 AM - 05:00 PM,08:00 AM - 05:00 PM,closed,closed
ACS - The Administration for Children's Services,40.862982,-73.897137,Michelle Escossery,718-933-7143,Pantry,"2501 Grand Concourse, 5th Floor",Bronx,NY,10468,11:00 AM - 07:00 PM,closed,11:00 AM - 07:00 PM,closed,11:00 AM - 07:00 PM,closed,closed
Lillian Wald Food Pantry,40.720237,-73.978181,Joann Napoleon,347-358-1557,Pantry,12 Avenue D,New York,NY,10009,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 02:00 PM,closed,closed
Pomonok Food Pantry,40.735162,-73.81409,Zani Simmons,"718-591-6060 (EXT 422), 631-893-9738",Pantry,67-09 Kissena Blvd.,Kew Gardens,NY,11367,closed,1:00 PM - 4:00 PM,closed,10:00 AM - 1:00 PM,closed,closed,closed
Hebrew Educational Society,40.63239,-73.890778,Tara Putterman,718-241-3000,Pantry,9502 Seaview Avenue,Brooklyn,NY,11236,closed,10:00 AM - 02:00 PM,03:00 PM - 06:00 PM,closed,closed,closed,closed
Unitarian Church of All Souls,40.775446,-73.958364,George Collins,917-653-0333,Soup Kitchen,1157 Lexington Avenue,New York,NY,10021,07:00 PM - 08:30 PM,closed,closed,closed,12:00 PM - 01:00 PM,closed,closed
